Name,Position x,Position y,Position z,Rotation x,Rotation y,Rotation z,Scale x,Scale y,Scale z,Parent,Note
"Circular_Wood_Viewing_Platform",83,17.6,57,0,0,0,40,0.35,40,"IslandScene_BES_SocialIsland/Environment/ViewPoint_NE_OceanCliff_Gazebo","Viewpoint platform"
"Gazebo_Cutscene_Viewpoint",83,18,57,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment/ViewPoint_NE_OceanCliff_Gazebo","Gazebo and cutscene staging"
"CampIsland_SE_SeparatedCamping_Bridges",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment","Separate southeast camping island"
"Camping_Tent_Main",112,6,-108,0,325,0,1.5,1.5,1.5,"IslandScene_BES_SocialIsland/Environment/CampIsland_SE_SeparatedCamping_Bridges","Main tent"
"Camping_Tent_Secondary",88,5.8,-116,0,20,0,1.1,1.1,1.1,"IslandScene_BES_SocialIsland/Environment/CampIsland_SE_SeparatedCamping_Bridges","Secondary tent"
"Camping_Campfire_SocialHub",101,6.3,-91,0,0,0,1.4,1.4,1.4,"IslandScene_BES_SocialIsland/Environment/CampIsland_SE_SeparatedCamping_Bridges","Campfire social hub"
"Bridge_To_Camping_Island_A",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment/Stone_Paths_And_Wooden_Bridges","First small wooden bridge"
"Bridge_To_Camping_Island_B",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment/Stone_Paths_And_Wooden_Bridges","Second small wooden bridge"
"PostFX_GlobalVolume_Bloom_Color_Vignette",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/VFX/Lighting_PostFX","URP visual polish volume"
"Coast_Foam_Wave_Strips",0,0,0,0,0,0,1,1,1,"IslandScene_BES_SocialIsland/Environment/Rocky_Coastline_Beaches","Foam strip parent"
"Plaza_Travel_Wagon_Prop",33,6,-13,0,298,0,1.2,1.2,1.2,"IslandScene_BES_SocialIsland/Environment/CentralPlaza_CENTER_SocialHub_CircularPlaza_Fountain/Zone_Decor","Ghibli wagon staging asset"
"Forest_North_Landmark_AncientTree",-20,9.4,108,0,340,0,1.85,1.85,1.85,"IslandScene_BES_SocialIsland/Environment/Forest_North_DenseGreenForest_Resources","North forest landmark big tree"
"Forest_North_Resource_Altar",24,8.9,94,0,24,0,1.1,1.1,1.1,"IslandScene_BES_SocialIsland/Environment/Forest_North_DenseGreenForest_Resources/Forest_Detail_DynamicVegetation","Resource discovery staging"
"Pool_Detail_BeachBall",-21,5.9,-79,0,25,0,0.85,0.85,0.85,"IslandScene_BES_SocialIsland/Environment/PoolArea_South_SwimmingPool_Recreation/Pool_Detail_StoneCoping_Umbrellas_Flowers","Pool recreation prop"
"Pool_Detail_Bubble_VFX",-36,6.1,-82,0,0,0,0.8,0.8,0.8,"IslandScene_BES_SocialIsland/Environment/PoolArea_South_SwimmingPool_Recreation/Pool_Detail_StoneCoping_Umbrellas_Flowers","Stylized water VFX"
"Harbor_Detail_Pallet_Stack",80,5.15,-25,0,12,0,0.75,0.75,0.75,"IslandScene_BES_SocialIsland/Environment/FishingPier_East_Docks_Boats/Harbor_Detail_Posts_Lanterns_Cargo","Harbor cargo staging"
"Harbor_Detail_Old_Cannon_Decor",89,5,-31,0,64,0,0.55,0.55,0.55,"IslandScene_BES_SocialIsland/Environment/FishingPier_East_Docks_Boats/Harbor_Detail_Posts_Lanterns_Cargo","Pirate ship decor asset"
"Viewpoint_Cliff_Entry_Arch",66,17.2,47,0,60,0,1.25,1.25,1.25,"IslandScene_BES_SocialIsland/Environment/ViewPoint_NE_OceanCliff_Gazebo/Viewpoint_Detail_Railings_PhotoSet","Viewpoint entrance landmark"
"Camping_Campfire_Flame_VFX",101,7,-91,0,0,0,0.75,0.75,0.75,"IslandScene_BES_SocialIsland/Environment/CampIsland_SE_SeparatedCamping_Bridges/Camping_Detail_Props_Lanterns_Food","Fire VFX layer"
"Camping_Supply_Wagon",130,6.2,-100,0,240,0,0.9,0.9,0.9,"IslandScene_BES_SocialIsland/Environment/CampIsland_SE_SeparatedCamping_Bridges/Camping_Detail_Props_Lanterns_Food","Camping supply staging"
